<div>Which of the following is part of the Basis and Purpose of the Amateur Radio Service?</div>	<div>Advancing skills in the technical and communication phases of the radio art</div>
<div>Which type of modulation is commonly used for VHF and UHF voice repeaters?</div>	FM or PM
<div>Which of the following types of signal has the narrowest bandwidth?</div>	CW
<div>Which sideband is normally used for 10 meter HF, VHF, and UHF single-sideband communications?</div>	Upper sideband
<div>What is a characteristic of single sideband (SSB) compared to FM?</div>	SSB signals have narrower bandwidth
<div>What is the approximate bandwidth of a typical single sideband (SSB) voice signal?</div>	3 kHz
<div>What is the approximate bandwidth of a VHF repeater FM voice signal?</div>	"Between 10 and 15 kHz'"
<div>What is the approximate bandwidth of AM fast-scan TV transmissions?</div>	About 6 MHz
<div>What is the approximate bandwidth required to transmit a CW signal?</div>	<div>150 Hz</div>
<div>Which of the following is a disadvantage of FM compared with single sideband?</div>	Only one signal can be received at a time
<div>What telemetry information is typically transmitted by satellite beacons?</div>	Health and status of the satellite
<div>What is the impact of using excessive effective radiated power on a satellite uplink?</div>	Blocking access by other users
<div>Which of the following are provided by satellite tracking programs?</div>	<div>Maps showing the real-time position of the satellite track over Earth, The time, azimuth, and elevation of the start, maximum altitude, and end of a pass, and The apparent frequency of the satellite transmission, including effects of Doppler shift</div>
<div>What mode of transmission is commonly used by amateur radio satellites?</div>	SSB, FM, and CW/data
<div>What is a satellite beacon?</div>	<div>A transmission from a satellite that contains status information</div>
<div>Which of the following are inputs to a satellite tracking program?</div>	The Keplerian elements
<div>What is Doppler shift in reference to satellite communications?</div>	&nbsp;An observed change in signal frequency caused by relative motion between the satellite and Earth station
<div>What is meant by the statement that a satellite is operating in U/V mode?</div>	The satellite uplink is in the 70 centimeter band and the downlink is in the 2 meter band
<div>What causes spin fading of satellite signals?</div>	Rotation of the satellite and its antennas
<div>What is a LEO satellite?</div>	A satellite in low earth orbit
<div>Who may receive telemetry from a space station?</div>	Anyone
<div>Which of the following is a way to determine whether your satellite uplink power is neither too low nor too high?</div>	Your signal strength on the downlink should be about the same as the beacon
<div>Which of the following methods is used to locate sources of noise interference or jamming?</div>	Radio direction finding
<div>Which of these items would be useful for a hidden transmitter hunt?</div>	A directional antenna
<div>What operating activity involves contacting as many stations as possible during a specified period?</div>	Contesting
<div>Which of the following is good procedure when contacting another station in a contest?</div>	Send only the minimum information needed for proper identification and the contest exchange
<div>What is a grid locator?</div>	A letter-number designator assigned to a geographic location
<div>How is over the air access to IRLP nodes accomplished?</div>	By using DTMF signals
<div>What is Voice Over Internet Protocol (VoIP)?</div>	<div>A method of delivering voice communications over the internet using digital techniques</div>
<div>What is the Internet Radio Linking Project (IRLP)?</div>	A technique to connect amateur radio systems, such as repeaters, via the internet using Voice Over Internet Protocol (VoIP)
<div>Which of the following protocols enables an amateur station to transmit through a repeater without using a radio to initiate the transmission?</div>	EchoLink
<div>What is required before using the EchoLink system?</div>	Register your call sign and provide proof of license&nbsp;
<div>What is an amateur radio station that connects other amateur stations to the internet?</div>	A gateway
<div>Which of the following is a digital communications mode?</div>	Packet radio, IEEE 802.11, FT8
<div>What is a “talkgroup” on a DMR repeater?</div>	A way for groups of users to share a channel at different times without hearing other users on the channel
<div>What kind of data can be transmitted by APRS?</div>	GPS data, Text messages, and Weather data
"<div>What type of transmission is indicated by the term ""NTSC?""</div>"	An analog fast-scan color TV signal
<div>Which of the following is an application of APRS?</div>	<div>Providing real-time tactical digital communications in conjunction with a map showing the locations of stations</div>
"<div>What does the abbreviation ""PSK"" mean?</div>"	Phase Shift Keying
<div>Which of the following describes DMR?</div>	<div>A technique for time-multiplexing two digital voice signals on a single 12.5 kHz repeater channel</div>
<div>Which of the following is included in packet radio transmissions?</div>	<div>A check sum that permits error detection, A header that contains the call sign of the station to which the information is being sent, Automatic repeat request in case of error</div>
<div>What is CW?</div>	Another name for a Morse code transmission
<div>Which of the following operating activities is supported by digital mode software in the WSJT-X software suite?&nbsp;&nbsp;</div>	Earth-Moon-Earth, Weak signal propagation beacons, and Meteor scatter
<div>What is an ARQ transmission system?</div>	An error correction method in which the receiving station detects errors and sends a request for retransmission
<div>Which of the following best describes an amateur radio mesh network?</div>	An amateur-radio based data network using commercial Wi-Fi equipment with modified firmware
<div>What is FT8?</div>	A digital mode capable of low signal-to-noise operation
<div>What is a beam antenna?</div>	An antenna that concentrates signals in one direction
<div>Which of the following describes a type of antenna loading?</div>	Electrically lengthening by inserting inductors in radiating elements
"<div>Which of the following describes a simple dipole oriented parallel to Earth's surface?</div>"	A horizontally polarized antenna
<div>What is a disadvantage of the short, flexible antenna supplied with most handheld radio transceivers, compared to a full-sized quarter-wave antenna?</div>	&nbsp;It has low efficiency
<div>Which of the following increases the resonant frequency of a dipole antenna?</div>	Shortening it
<div>Which of the following types of antenna offers the greatest gain?</div>	Yagi&nbsp;
<div>What is a disadvantage of using a handheld VHF transceiver with a flexible antenna inside a vehicle?</div>	Signal strength is reduced due to the shielding effect of the vehicle
<div>What is the approximate length, in inches, of a quarter-wavelength vertical antenna for 146 MHz?</div>	19
<div>What is the approximate length, in inches, of a half-wavelength 6 meter dipole antenna?</div>	112
<div>In which direction does a half-wave dipole antenna radiate the strongest signal?</div>	Broadside to the antenna
<div>What is antenna gain?</div>	The increase in signal strength in a specified direction compared to a reference antenna
<div>What is an advantage of a 5/8 wavelength whip antenna for VHF or UHF mobile service?</div>	It has more gain than a 1/4-wavelength antenna
<div>What is a benefit of low SWR?</div>	Reduced signal loss
<div>What is the most common impedance of coaxial cables used in amateur radio?</div>	50 ohms
<div>Why is coaxial cable the most common feed line for amateur radio antenna systems?</div>	It is easy to use and requires few special installation considerations
<div>What is the major function of an antenna tuner (antenna coupler)?</div>	"<div>It matches the antenna system impedance to the transceiver's output impedance</div>"
<div>What happens as the frequency of a signal in coaxial cable is increased?</div>	The loss increases
<div>Which of the following RF connector types is most suitable for frequencies above 400 MHz?</div>	Type N
<div>Which of the following is true of PL-259 type coax connectors?</div>	<div>They are commonly used at HF and VHF frequencies</div>
<div>Which of the following is a source of loss in coaxial feed line?</div>	<div>Water intrusion into coaxial connectors, High SWR, and Multiple connections in the line</div>
<div>What can cause erratic changes in SWR?</div>	Loose connection in the antenna or feed line
<div>What is the electrical difference between RG-58 and RG-213 coaxial cable?</div>	<div>RG-213 cable has less loss at a given frequency</div>
<div>Which of the following types of feed line has the lowest loss at VHF and UHF?</div>	Air-insulated hardline
<div>What is standing wave ratio (SWR)?</div>	A measure of how well a load is matched to a transmission line
<div>Which of the following is a safety hazard of a 12-volt storage battery?</div>	<div>Shorting the terminals can cause burns, fire, or an explosion</div>
<div>What health hazard is presented by electrical current flowing through the body?</div>	It may cause injury by heating tissue, It may disrupt the electrical functions of cells, and It may cause involuntary muscle contractions
<div>In the United States, what circuit does black wire insulation indicate in a three-wire 120 V cable?</div>	Hot
<div>What is the purpose of a fuse in an electrical circuit?</div>	To remove power in case of overload
<div>Why should a 5-ampere fuse never be replaced with a 20-ampere fuse?</div>	&nbsp;Excessive current could cause a fire
<div>What is a good way to guard against electrical shock at your station?</div>	Use three-wire cords and plugs for all AC powered equipment, Connect all AC powered station equipment to a common safety ground, Install mechanical interlocks in high-voltage circuits
<div>Where should a lightning arrester be installed in a coaxial feed line?</div>	On a grounded panel near where feed lines enter the building
<div>Where should a fuse or circuit breaker be installed in a 120V AC power circuit?</div>	<div>In series with the hot conductor only</div>
<div>What should be done to all external ground rods or earth connections?</div>	Bond them together with heavy wire or conductive strap
<div>What hazard is caused by charging or discharging a battery too quickly?</div>	<div>Overheating or out-gassing</div>
<div>What hazard exists in a power supply immediately after turning it off?</div>	Charge stored in filter capacitors
<div>Which of the following precautions should be taken when measuring high voltages with a voltmeter?</div>	<div>Ensure that the voltmeter and leads are rated for use at the voltages to be measured</div>
<div>Which of the following is good practice when installing ground wires on a tower for lightning protection?</div>	<div>Ensure that connections are short and direct</div>
<div>What is required when climbing an antenna tower?</div>	Have sufficient training on safe tower climbing techniques, Use appropriate tie-off to the tower at all times, Always wear an approved climbing harness
<div>Under what circumstances is it safe to climb a tower without a helper or observer?</div>	Never
<div>Which of the following is an important safety precaution to observe when putting up an antenna tower?</div>	Look for and stay clear of any overhead electrical wires
<div>What is the purpose of a safety wire through a turnbuckle used to tension guy lines?</div>	<div>Prevent loosening of the turnbuckle from vibration</div>
<div>Prevent loosening of the turnbuckle from vibration</div>	Enough so that if the antenna falls, no part of it can come closer than 10 feet to the power wires
<div>Which of the following is an important safety rule to remember when using a crank-up tower?</div>	This type of tower must not be climbed unless it is retracted, or mechanical safety locking devices have been installed
<div>Which is a proper grounding method for a tower?</div>	<div>Separate eight-foot ground rods for each tower leg, bonded to the tower and each other</div>
<div>Why should you avoid attaching an antenna to a utility pole?</div>	The antenna could contact high-voltage power lines
<div>Which of the following is true when installing grounding conductors used for lightning protection?</div>	<div>Sharp bends must be avoided</div>
<div>Which of the following establishes grounding requirements for an amateur radio tower or antenna?</div>	Local electrical codes
<div>What type of radiation are radio signals?</div>	&nbsp;Non-ionizing radiation
<div>At which of the following frequencies does maximum permissible exposure have the lowest value?</div>	50 MHz
<div>How does the allowable power density for RF safety change if duty cycle changes from 100 percent to 50 percent?</div>	&nbsp;It increases by a factor of 2
<div>What factors affect the RF exposure of people near an amateur station antenna?</div>	<div>Frequency and power level of the RF field, Distance from the antenna to a person, and Radiation pattern of the antenna</div>
<div>Why do exposure limits vary with frequency?</div>	The human body absorbs more RF energy at some frequencies than at others
<div>Which of the following is an acceptable method to determine whether your station complies with FCC RF exposure regulations?</div>	By calculation based on FCC OET Bulletin 65, By calculation based on computer modeling, and By measurement of field strength using calibrated equipment
<div>What hazard is created by touching an antenna during a transmission?</div>	RF burn to skin
<div>Which of the following actions can reduce exposure to RF radiation?</div>	Relocate antennas
<div>How can you make sure your station stays in compliance with RF safety regulations?</div>	<div>By re-evaluating the station whenever an item in the transmitter or antenna system is changed</div>
<div>Why is duty cycle one of the factors used to determine safe RF radiation exposure levels?</div>	It affects the average exposure to radiation
<div>What is the definition of duty cycle during the averaging time for RF exposure?&nbsp;</div>	The percentage of time that a transmitter is transmitting
<div>How does RF radiation differ from ionizing radiation (radioactivity)?</div>	<div>RF radiation does not have sufficient energy to cause chemical changes in cells and damage DNA</div>
<div>Who is responsible for ensuring that no person is exposed to RF energy above the FCC exposure limits?</div>	The station licensee
